b1	b10	b11	b12	b13	b14	b15	b16	b17	b2	b4	b6	b7	b8	b9	a1	a10	a11	a12	a13	a14	a15	a16	a17	a2	a4	a6	a7	a8	a9	c1	c10	c11	c12	c13	c14	c15	c16	c17	c2	c4	c6	c7	c8	c9
6558	35200000	3350000	5290000	7250000	36600000	29900000	28700000	3340000	30100000	3340000	30000000	28400000	5100000	31600000	28200000	4420000	34900000	35100000	32700000	46300000	38000000	4160000	24500000	25800000	23800000	6250000	43200000	27100000	39400000	47600000	30100000	4000000	36000000	4250000	6120000	6120000	33000000	3790000	5980000	33400000	33400000	13400000	26600000	16100000
8663	514000	582000	11900000	1540000	801000	550000	499000	75000	377000	3720000	2520000	404000	373000	3920000	1030000	2180000	314000	12500000	906000	4230000	185000	1100000	28100	86000	5030000	392000	1880000	2390000	1200000	926000	2870000	332000	2960000	1220000	1380000	4880000	608000	52300	44800	486000	329000	1250000	301000	1440000
7057	7260000	19700000	8790000	17900000	6420000	13200000	14000000	5920000	3960000	11800000	10700000	12300000	6260000	6800000	1950000	2940000	7450000	4840000	20800000	4320000	6290000	7750000	3590000	3300000	11500000	4810000	7700000	6190000	5480000	1550000	5540000	16700000	6820000	27100000	5520000	15100000	15000000	5740000	3800000	8470000	7090000	17300000	2740000	12400000
11831	203000	93200	348000	54100	35700	18100	548000	59500	36000	52500	83700	5510	5940	5740	4800	15400	56600	142000	19500	180000	20300	7460	18100	2470	31400	16600	4410	7140	26100	3080	57400	5540	104000	29200	44800	93900	255000	446000	120000	44500	121000	6810	20700	49500
22266653	789000	983000	1510000	3100000	1290000	1260000	1650000	522000	420000	1570000	1750000	838000	497000	1180000	301000	43000	854000	1450000	3720000	1320000	388000	1530000	696000	254000	328000	1150000	492000	606000	890000	243000	306000	414000	1530000	3310000	1590000	983000	2240000	492000	304000	1260000	520000	1560000	361000	940000
71	910000	696000	1200000	1030000	723000	570000	531000	603000	31500	960000	577000	405000	203000	646000	45400	157000	132000	903000	1670000	572000	104000	437000	360000	90200	821000	282000	306000	326000	211000	25800	198000	160000	770000	928000	588000	524000	896000	65800	170000	924000	134000	972000	115000	426000
58	4.16e+07	3.53e+07	1.00e+08	4.98e+07	2.77e+07	1.92e+07	4.52e+07	1.41e+07	1.39e+07	4.19e+07	5.65e+07	2.52e+07	1.85e+07	3.89e+07	1.36e+07	1.31e+07	1.64e+07	4.59e+07	5.02e+07	2.23e+07	1.02e+07	3.44e+07	1.73e+07	1.23e+07	4.29e+07	3.89e+07	2.03e+07	2.81e+07	2.52e+07	1.90e+07	2.21e+07	3.98e+07	9.18e+07	4.38e+07	2.06e+07	2.19e+07	4.43e+07	1.34e+07	1.28e+07	3.51e+07	2.35e+07	4.21e+07	1.93e+07	3.28e+07
48	27300000	40300000	27200000	31500000	13400000	24600000	21400000	8780000	6760000	26200000	35400000	16600000	13600000	23200000	10700000	7890000	11300000	19200000	38100000	14500000	11300000	22700000	12600000	5490000	32000000	22200000	13600000	17300000	20400000	7890000	13600000	16300000	21800000	37500000	15700000	19400000	24500000	10600000	6580000	29100000	18800000	24500000	12600000	20500000
51	1.41e+08	9.52e+07	1.69e+08	5.74e+07	1.07e+08	3.42e+07	1.36e+08	4.14e+07	4.12e+07	2.54e+08	5.60e+07	3.75e+07	9.37e+07	1.13e+08	4.86e+07	7.39e+07	8.07e+07	1.75e+08	9.66e+07	1.36e+08	4.45e+07	1.38e+08	6.39e+07	3.91e+07	3.03e+08	1.62e+08	5.53e+07	1.05e+08	1.09e+08	4.89e+07	6.43e+07	5.19e+07	6.96e+07	6.32e+07	1.12e+08	5.69e+07	1.53e+08	5.74e+07	6.11e+07	2.77e+08	2.42e+07	1.89e+08	1.12e+08	1.26e+08
439332	948000	1060000	1020000	1030000	965000	984000	918000	1010000	981000	1040000	973000	916000	988000	943000	1040000	978000	972000	939000	958000	955000	959000	992000	948000	972000	986000	1030000	969000	980000	949000	973000	1060000	1000000	932000	1050000	974000	1000000	974000	1100000	1030000	947000	920000	965000	1060000	997000
